Year,Month,Day,Hour,Severity,count
2016,7,3,13,Moderate,12
2020,11,5,12,Moderate,34
2021,2,3,14,Moderate,84
2021,12,2,0,Moderate,161
2022,1,2,8,Moderate,94
2021,2,6,12,Moderate,44
2019,2,6,10,Moderate,41
2021,7,3,17,Moderate,66
2019,10,4,6,Moderate,79
2021,8,4,11,Moderate,37
2020,6,2,9,Low,8
2016,10,6,17,Moderate,21
2017,2,4,9,High,13
2020,12,6,6,Moderate,43
2021,8,1,15,Moderate,38
2019,2,3,2,Moderate,1
2018,3,4,15,Moderate,33
2020,8,1,14,High,13
2021,3,2,9,High,4
2020,10,7,13,Moderate,48
2017,8,6,10,Moderate,40
2018,8,2,10,High,10
2021,7,5,13,Moderate,64
2019,8,1,1,Moderate,1
2016,11,4,12,High,18
2022,12,5,15,Severe,3
2018,2,6,12,High,8
2020,2,2,17,High,8
2020,12,2,7,High,9
2017,6,2,11,Moderate,19
2020,1,4,6,Moderate,49
2017,1,2,21,Moderate,14
2019,2,5,13,High,10
2019,12,5,5,Moderate,30
2016,12,5,16,Moderate,34
2019,3,2,19,Moderate,16
2019,5,5,10,Moderate,33
2018,5,2,19,Moderate,16
2017,12,4,18,High,24
2019,4,1,21,High,4
2020,3,7,15,Moderate,15
2022,9,1,13,High,1
2020,1,2,21,Moderate,10
2020,10,6,20,Moderate,60
2020,12,1,16,High,4
2018,1,3,14,High,16
2017,10,5,4,Moderate,12
2018,9,2,5,High,6
2016,11,5,21,High,6
2020,2,5,23,Moderate,7
2020,6,2,12,High,14
2022,10,1,12,Moderate,36
2017,1,3,11,Moderate,30
2017,2,6,10,Moderate,22
2016,5,3,21,High,4
2019,12,7,15,High,9
2016,9,1,5,Moderate,2
2017,11,3,7,High,22
2018,12,1,10,High,12
2018,9,2,16,Moderate,30
2017,5,2,7,Moderate,28
2018,10,6,15,Severe,3
2018,9,4,11,High,8
2022,2,4,22,Moderate,19
2018,5,6,2,High,1
2023,2,2,7,Moderate,22
2017,6,5,14,Moderate,19
2021,3,1,10,High,3
2019,6,1,15,High,7
2018,9,1,3,Severe,3
2018,11,7,2,Moderate,2
2019,9,4,16,Severe,2
2020,5,2,2,Moderate,6
2023,3,4,9,Moderate,15
2016,7,1,12,Moderate,8
2017,6,1,13,High,5
2022,11,3,0,Severe,17
2022,6,4,0,Moderate,435
2021,10,7,16,Moderate,51
2021,10,7,8,High,3
2016,12,6,8,Moderate,49
2021,2,3,9,Moderate,29
2019,4,4,12,High,10
2017,1,5,7,Moderate,41
2020,3,6,6,Moderate,34
2021,9,3,7,Moderate,119
2019,12,4,16,High,8
2020,10,3,13,Moderate,76
2020,12,1,16,Moderate,33
2022,12,2,14,Moderate,63
2019,5,4,8,Moderate,94
2021,10,5,6,Moderate,84
2021,12,4,22,Moderate,22
2019,12,5,6,Moderate,44
2020,9,4,15,Moderate,45
2020,7,2,11,High,5
2017,7,5,6,Moderate,17
2021,1,2,17,Moderate,40
2022,6,6,6,Moderate,23
2017,5,2,12,Moderate,22
2020,2,7,12,Moderate,34
2020,8,4,7,Moderate,33
2022,4,6,6,Severe,2
2019,9,4,20,Moderate,10
2022,5,7,17,Moderate,34
2016,11,4,18,High,21
2022,2,5,22,Moderate,24
2018,12,3,17,Moderate,34
2022,10,6,21,Moderate,15
2018,6,3,16,Moderate,41
2021,11,7,22,Moderate,29
2019,12,4,10,High,4
2016,7,6,20,High,14
2017,8,3,6,Moderate,40
2021,4,3,1,Severe,1
2018,7,3,12,Moderate,30
2019,12,2,18,Moderate,56
2022,12,1,21,Moderate,22
2022,2,2,7,High,6
2017,12,3,9,Moderate,36
2022,5,3,21,High,4
2021,12,7,11,High,8
2019,1,2,8,High,25
2017,6,3,17,Moderate,22
2016,8,2,16,High,10
2020,10,6,23,Severe,2
2019,12,6,6,Moderate,38
2022,7,4,23,Moderate,10
2017,4,6,19,High,9
2018,3,3,4,High,5
2021,5,2,0,High,2
2021,3,7,20,Moderate,16
2018,3,5,13,Moderate,26
2019,12,1,11,Moderate,26
2020,7,2,5,High,3
2019,12,1,16,High,9
2018,2,4,3,Severe,2
2018,8,1,3,Moderate,2
2021,12,6,7,Severe,3
2016,6,5,14,Moderate,13
2021,6,2,8,High,14
2018,5,1,2,Severe,1
2018,9,4,9,High,12
2022,2,7,10,High,3
2020,10,1,10,Moderate,10
2017,2,4,14,Severe,1
2017,9,5,15,Moderate,42
2017,4,6,10,Moderate,29
2019,10,1,20,High,7
2019,6,4,22,High,6
2022,9,7,4,Severe,4
2017,7,6,0,Moderate,11
2016,6,2,8,High,4
2020,1,1,19,Moderate,12
2019,5,5,4,Moderate,11
2019,9,5,10,Moderate,29
2021,11,4,6,Moderate,104
2022,8,3,6,Moderate,61
2022,6,3,17,Moderate,61
2016,12,3,19,Severe,2
2021,10,3,6,Moderate,86
2018,8,4,16,Moderate,50
2022,12,7,19,Moderate,54
2022,4,6,9,Moderate,67
2020,5,3,5,High,5
2020,10,5,11,Moderate,45
2017,7,5,0,Moderate,11
2016,10,4,10,Moderate,44
2021,6,3,22,Moderate,23
2022,3,2,11,Moderate,32
2019,10,5,13,Moderate,52
2020,5,3,12,Moderate,26
2022,4,6,20,Moderate,46
2023,2,2,0,Moderate,186
2022,4,5,15,Moderate,103
2018,6,7,23,High,3
2021,8,5,19,Moderate,30
2022,6,1,23,Moderate,15
2019,8,6,10,Moderate,40
2018,5,4,17,High,22
2021,3,4,17,Moderate,49
2016,7,5,18,Moderate,34
2016,8,5,9,Moderate,22
2020,3,3,13,Moderate,23
2017,1,2,5,Moderate,10
2021,2,4,16,Moderate,73
2020,3,1,11,High,4
2018,7,4,12,Moderate,16
2020,6,2,16,High,22
2018,12,3,1,Moderate,3
2019,4,3,20,High,9
2021,7,1,4,Moderate,10
2019,4,1,20,High,5
2018,2,5,14,Moderate,33
2016,8,2,17,Moderate,42
2016,10,6,14,Moderate,23
2022,7,4,6,Low,13
2017,10,1,17,High,9
2016,12,5,17,Moderate,35
2020,12,2,8,High,9
2020,10,4,8,High,7
2018,6,4,7,Moderate,45
2022,11,4,23,Moderate,18
2020,3,3,5,High,8
2020,4,1,23,Low,1
2021,5,2,6,Severe,2
2022,7,1,14,High,6
2020,2,5,11,High,5
2019,12,6,10,Moderate,32
2019,6,1,13,High,9
2018,6,3,12,High,9
2017,2,4,17,High,12
2017,7,5,22,Moderate,7
2020,6,6,17,Severe,6
2020,5,6,8,High,22
2018,4,2,16,Moderate,44
2016,7,4,0,Moderate,6
2019,11,4,13,Moderate,24
2020,3,4,5,Moderate,12
2022,7,7,6,Severe,1
2016,4,4,21,High,3
2019,6,4,16,High,20
2016,10,5,8,High,24
2016,5,5,15,Moderate,16
2018,3,6,2,High,3
2018,12,1,17,Moderate,8
2022,3,2,0,Severe,6
2019,11,3,18,Moderate,37
2022,3,4,6,Severe,2
2020,12,1,17,High,7
2022,6,6,7,Moderate,21
2021,11,6,16,High,8
2021,6,3,10,High,5
2022,5,3,5,High,3
2018,7,6,7,Severe,2
2018,3,1,8,Moderate,2
2018,6,5,5,High,8
2018,1,2,3,High,3
2017,3,5,0,Severe,1
2018,7,7,18,High,8
2020,5,1,6,Moderate,7
2020,5,3,20,Severe,3
2017,11,1,0,High,2
2016,4,5,23,High,1
2020,4,2,15,High,14
2017,3,4,8,Moderate,44
2021,8,6,8,Moderate,69
2017,11,3,9,Moderate,25
2021,10,4,17,Moderate,116
2017,9,6,16,Moderate,67
2022,9,5,11,Moderate,34
2017,8,3,11,Moderate,33
2017,9,2,11,High,8
2022,10,3,0,Moderate,232
2022,1,4,6,Moderate,81
2019,4,2,11,Moderate,24
2020,3,5,9,High,13
2019,10,2,17,Moderate,66
2021,1,5,4,Moderate,47
2020,6,5,10,Moderate,39
2016,11,3,7,Moderate,66
2016,11,2,13,High,4
2019,10,1,12,Moderate,18
2021,2,2,3,Moderate,27
2020,8,3,16,Moderate,18
2023,1,1,18,Moderate,53
2020,12,2,3,Moderate,39
2020,8,1,22,High,2
2020,11,4,17,Moderate,63
2019,12,3,8,Moderate,101
2022,2,5,18,High,6
2021,7,7,16,High,5
2018,3,1,9,Moderate,12
2018,6,4,15,High,18
2021,3,1,22,High,2
2020,6,5,11,Low,5
2022,2,2,7,Moderate,95
2022,9,7,16,Moderate,35
2018,9,3,14,High,11
2019,6,2,9,High,8
2020,3,2,13,Moderate,26
2018,5,2,21,Moderate,11
2019,6,1,9,Moderate,4
2018,6,3,17,Moderate,31
2022,8,4,7,Moderate,91
2018,12,1,17,Severe,4
2019,9,2,16,High,17
2018,3,3,14,Severe,2
2020,3,3,17,High,14
2021,5,1,18,Moderate,21
2019,9,7,8,Severe,1
2017,3,5,16,High,15
2020,11,5,12,High,5
2019,7,2,13,Moderate,21
2017,1,5,11,High,6
2017,1,6,6,Severe,2
2020,9,1,20,Moderate,13
2018,4,1,1,High,2
2022,2,3,19,Severe,2
2019,1,2,0,High,5
2018,7,3,9,High,15
2017,9,1,23,High,3
2019,9,1,12,High,7
2018,3,5,14,High,14
2019,11,7,3,Moderate,3
2016,7,2,19,Moderate,11
2019,10,2,23,Moderate,10
2018,8,2,9,Moderate,27
2018,5,6,9,Severe,2
2020,5,5,21,High,5
2023,2,5,10,Moderate,14
2020,5,7,22,Severe,2
2018,9,1,8,Moderate,10
2019,6,1,17,Moderate,9
2019,12,1,21,High,1
2021,3,1,16,Moderate,13
2018,7,6,6,High,11
2021,4,1,12,Moderate,15
2019,3,7,14,Severe,2
2016,6,7,18,Moderate,3
2022,11,7,6,Moderate,11
2016,4,1,22,Moderate,1
2021,6,5,4,Moderate,13
2020,3,1,4,Moderate,5
2020,8,6,5,High,2
2020,1,5,17,Moderate,88
2021,1,3,4,High,3
2022,10,7,15,Moderate,38
2021,12,6,6,Moderate,72
2021,5,7,14,Moderate,32
2020,8,3,17,Moderate,15
2021,11,5,16,Moderate,93
2016,7,6,8,Moderate,27
2021,12,5,8,Moderate,122
2022,5,5,0,Moderate,473
2022,5,4,18,High,6
2018,4,4,6,High,16
2022,12,4,15,Moderate,84
2022,6,2,16,Moderate,71
2017,1,5,14,High,9
2017,9,6,17,Moderate,67
2017,1,7,17,Severe,1
2022,5,3,8,Low,23
2020,10,5,20,Moderate,46
2022,3,2,16,Moderate,81
2020,9,4,22,Moderate,29
2019,3,4,13,Moderate,18
2021,5,3,5,Moderate,60
2017,5,3,19,Moderate,10
2018,10,6,11,Moderate,33
2019,12,6,16,High,21
2016,8,5,19,Moderate,19
2021,12,2,21,Moderate,21
2018,5,2,17,High,15
2019,8,7,12,Moderate,12
2018,11,3,15,High,10
2020,9,4,0,Moderate,51
2022,4,7,18,High,2
2018,7,1,13,Severe,1
2019,5,2,16,Moderate,38
2020,2,4,11,Moderate,34
2020,9,6,7,High,12
2017,1,5,18,Moderate,33
2021,2,7,3,Moderate,27
2016,8,2,18,High,17
2021,4,7,16,Moderate,23
2022,11,3,6,Moderate,62
2022,3,4,22,Moderate,18
2017,11,1,12,High,9
2019,8,1,22,Moderate,5
2020,6,3,18,High,31
2017,6,2,17,Moderate,18
2019,1,2,21,Moderate,6
2022,3,2,7,Severe,2
2021,5,1,13,Moderate,26
2019,1,7,8,High,13
2021,2,6,9,High,8
2022,3,2,7,Moderate,80
2018,9,4,18,High,13
2017,12,6,13,High,23
2022,5,6,2,Moderate,6
2021,7,6,7,Moderate,65
2023,1,1,12,Moderate,43
2019,2,3,23,Moderate,5
2022,6,5,19,Moderate,21
2020,11,7,6,Moderate,43
2022,10,2,7,Moderate,45
2022,6,6,13,High,6
2019,5,3,18,High,13
2022,1,2,14,High,6
2020,2,2,22,Moderate,5
2020,10,4,10,High,9
2019,12,7,20,Moderate,9
2018,7,5,21,Moderate,7
2022,5,2,10,Severe,2
2019,4,5,15,Severe,1
2017,5,6,7,Moderate,26
2017,5,2,21,Moderate,3
2020,12,1,11,High,3
2021,11,7,9,Moderate,20
2020,4,5,20,Moderate,14
2020,7,6,5,Moderate,21
2017,1,3,7,Moderate,34
2023,1,3,1,Moderate,13
2018,6,4,9,High,14
2020,8,4,18,High,7
2020,2,2,22,High,2
2020,3,7,14,Moderate,15
2022,8,1,3,Moderate,13
2018,7,7,16,High,8
2019,4,6,10,High,11
2018,5,2,7,High,14
2021,8,5,21,Moderate,22
2020,6,1,7,Moderate,9
2020,6,3,20,Low,1
2022,6,6,0,Severe,10
2017,8,7,15,Severe,1
2016,11,4,14,High,14
2020,5,7,11,High,10
2020,4,1,16,Moderate,17
2022,6,7,8,High,2
2022,8,6,0,Moderate,393
2019,5,4,8,High,23
2018,4,4,16,High,29
2016,2,3,8,Severe,1
2022,5,1,5,Moderate,18
2021,2,6,15,Moderate,100
2020,5,7,7,High,12
2017,12,3,8,High,23
2017,10,3,16,High,29
2016,5,6,17,High,5
2021,9,3,6,Moderate,76
2023,1,6,10,Moderate,53
2021,9,5,14,Severe,2
2016,11,3,6,High,15
2022,9,6,21,Moderate,43
2020,10,1,2,Moderate,25
2021,2,5,1,Moderate,52
2017,1,2,18,Moderate,31
2022,2,1,17,Moderate,32
2020,11,1,19,Moderate,49
2019,6,6,4,Moderate,18
2022,4,6,19,Moderate,64
2019,5,3,16,Moderate,41
2018,11,4,6,High,22
2019,11,3,5,Moderate,25
2018,11,5,12,High,10
2019,12,4,15,Moderate,28
2021,5,6,2,Severe,1
2020,9,7,4,Moderate,20
2019,8,3,13,Moderate,18
2017,10,2,14,High,13
2020,8,3,15,High,9
2019,2,6,17,High,17
2019,12,5,11,High,7
2020,7,1,9,High,3
2017,6,3,16,High,7
2021,3,5,4,High,4
2018,1,3,14,Moderate,26
2016,7,3,9,Moderate,22
2017,9,1,22,High,2
2018,12,3,19,Severe,4
2021,9,2,13,High,4
2021,6,4,1,High,3
2019,11,6,16,High,19
2020,3,7,16,Moderate,15
2022,3,2,1,Moderate,5
2017,7,2,2,Severe,1
2021,7,3,15,Moderate,44
2019,2,5,5,Moderate,27
2019,11,4,21,Moderate,9
2018,12,5,14,High,8
2021,8,2,19,Moderate,29
2021,3,2,6,High,9
2018,6,2,17,Moderate,36
2022,9,3,9,High,1
2018,7,7,22,High,5
2022,2,7,3,Moderate,11
2020,8,1,21,High,7
2023,1,4,21,Moderate,24
2017,8,6,14,High,17
2021,6,6,8,High,6
2019,5,2,22,Moderate,7
2017,9,5,7,Severe,3
2022,5,4,5,Moderate,27
2017,7,2,14,High,12
2018,12,1,6,Moderate,5
2022,7,2,7,Low,27
2021,3,4,3,High,3
2017,4,3,12,Moderate,22
2018,10,7,12,Moderate,10
2018,3,7,11,Moderate,8
2016,8,7,19,Moderate,7
2020,10,7,19,High,9
2018,11,7,19,High,3
2017,10,4,10,High,15
2018,9,7,6,Moderate,6
2021,9,1,6,Moderate,10
2018,2,3,0,Moderate,5
2017,3,4,10,High,14
2019,3,4,9,High,12
2019,3,5,14,High,6
2017,8,1,16,High,11
2019,3,7,20,Moderate,4
2019,5,3,16,High,17
2017,5,6,7,High,8
2017,5,7,7,Moderate,3
2019,11,5,10,High,7
2021,5,1,1,Moderate,13
2021,9,6,19,Severe,1
2022,6,3,17,High,9
2016,10,1,5,Moderate,2
2020,10,2,21,Severe,3
2022,3,7,11,Moderate,35
2022,4,6,4,High,7
2017,7,3,8,Severe,3
2021,9,3,11,Moderate,33
2018,10,4,12,Moderate,37
2022,3,6,13,Moderate,56
2016,11,3,13,High,7
2022,2,7,13,High,7
2020,6,2,13,Moderate,46
2016,10,2,7,Moderate,42
2021,7,7,11,Moderate,68
2020,7,3,9,Moderate,25
2021,10,2,17,Moderate,76
2020,7,6,11,Moderate,20
2022,6,7,16,Moderate,28
2018,1,6,7,High,22
2022,2,5,9,Moderate,62
2020,4,3,22,High,2
2019,9,3,8,Moderate,93
2019,11,1,17,High,7
2019,10,2,11,Moderate,37
2022,1,6,17,Moderate,76
2020,6,1,10,Moderate,12
2023,1,2,13,Moderate,44
2021,3,2,14,Moderate,37
2020,3,4,17,High,18
2021,3,5,12,Moderate,23
2017,2,3,19,High,12
2017,7,7,11,High,6
2018,5,3,5,Moderate,19
2018,5,2,12,Moderate,21
2020,7,4,6,Moderate,26
2017,8,4,11,Moderate,48
2020,1,1,11,Moderate,14
2022,12,5,18,Severe,4
2017,8,4,8,Moderate,75
2022,1,2,16,Moderate,78
2022,4,3,14,High,5
2018,9,2,14,Moderate,22
2022,1,2,16,High,15
2017,9,6,10,Moderate,47
2017,2,3,6,Moderate,31
2020,10,3,17,Moderate,43
2020,3,7,6,Moderate,7
2018,5,3,6,Moderate,39
2020,12,3,1,Severe,4
2016,9,3,3,Severe,1
2018,9,7,15,High,7
2019,7,5,15,Severe,2
2022,9,1,15,Moderate,29
2022,3,5,8,High,13
2019,8,4,15,Moderate,39
2016,12,3,15,Severe,2
2018,8,5,6,Moderate,25
2020,7,5,14,Moderate,10
2021,4,7,5,High,4
2018,11,6,9,Moderate,37
2018,2,4,9,Severe,4
2017,10,4,15,High,22
2020,11,2,6,High,8
2016,9,4,14,Moderate,20
2018,4,1,7,High,5
2022,7,5,22,Moderate,15
2017,10,3,5,Moderate,17
2022,6,1,1,Moderate,11
2021,11,1,5,Moderate,8
2018,6,2,21,Moderate,8
2016,5,7,4,High,3
2021,6,1,11,Moderate,19
2016,9,7,20,Moderate,6
2019,9,6,8,High,11
2018,1,6,21,High,4
2022,7,2,3,Moderate,9
2016,8,3,16,Moderate,29
2019,7,6,7,High,15
2019,6,4,13,Severe,1
2017,5,5,22,Moderate,3
2016,8,4,19,Moderate,15
2017,9,7,16,Severe,1
2017,8,7,12,Moderate,3
2020,1,6,11,Moderate,47
2020,6,6,10,High,16
2021,8,3,13,High,7
2017,11,4,8,Severe,1
2019,1,7,5,Moderate,11
2022,9,6,19,Low,1
2020,3,5,16,Severe,1
2017,10,6,22,Moderate,7
2019,5,2,20,Moderate,7
2022,5,1,16,Moderate,27
2017,11,1,14,Moderate,3
2019,7,3,20,High,4
2019,7,5,22,Moderate,9
2017,8,6,13,Moderate,32
2020,12,4,14,Moderate,96
2021,1,5,3,Moderate,43
2023,3,3,0,Moderate,115
2020,4,5,18,Low,8
2018,9,4,19,High,16
2020,5,2,11,High,7
2021,9,7,19,Moderate,21
2018,6,3,8,Moderate,55
2020,11,3,12,Moderate,44
2022,2,2,21,Moderate,12
2020,12,1,2,Moderate,45
2020,8,5,17,High,14
2023,1,4,15,Moderate,83
2018,2,5,20,Moderate,11
2022,7,4,4,Severe,3
2022,9,2,20,Moderate,19
2023,1,6,11,Moderate,42
2022,10,7,13,Moderate,31
2021,4,7,15,High,12
2016,10,6,13,Moderate,23
2021,9,6,12,Moderate,43
2020,4,4,8,Moderate,51
2019,6,2,21,Severe,2
2022,7,6,14,Moderate,89
2016,5,5,18,High,2
2016,4,1,10,Severe,1
2022,11,2,17,Severe,4
2022,8,5,12,High,4
2018,11,3,3,Moderate,2
2021,4,7,19,Moderate,13
2019,2,4,10,High,11
2023,2,6,15,Moderate,29
2019,9,3,17,Moderate,47
2021,7,5,10,High,5
2020,12,1,4,Moderate,42
2021,2,3,2,Moderate,33
2020,2,3,4,Moderate,15
2020,1,4,17,Moderate,47
2018,5,3,16,Moderate,59
2018,3,3,22,Moderate,7
2020,6,5,9,Moderate,35
2018,4,1,11,Moderate,16
2019,12,4,4,Moderate,13
2016,9,6,8,Moderate,47
2019,4,7,9,High,11
2019,12,7,12,High,11
2020,6,6,20,Low,4
2019,4,6,3,Moderate,1
2018,12,3,13,Moderate,26
2020,6,2,10,Moderate,41
2022,3,5,11,High,5
2018,1,4,11,High,14
2020,6,3,10,High,9
2020,5,3,10,Moderate,21
2022,8,5,19,Moderate,30
2021,5,5,0,Moderate,73
2023,1,6,13,Moderate,70
2020,6,6,2,Moderate,9
2016,6,1,22,Moderate,2
2017,6,5,9,Moderate,27
2016,10,6,6,Moderate,20
2018,9,4,18,Moderate,20
2016,8,3,11,High,14
2017,10,1,11,High,7
2022,11,2,8,Moderate,44
2016,10,4,13,Moderate,16
2022,11,6,6,Moderate,40
2017,3,7,14,High,11
2017,11,1,1,Moderate,5
2022,5,6,16,High,10
2021,4,1,5,Moderate,10
2020,7,5,11,High,4
2018,6,1,20,Moderate,3
2021,9,6,9,High,5
2020,12,4,18,High,13
2017,3,3,18,Moderate,17
2016,5,2,17,Moderate,8
2020,10,1,21,Moderate,33
2017,7,4,19,Severe,1
2022,7,3,15,High,8
2018,6,6,7,Moderate,41
2016,7,2,6,High,8
2017,1,1,18,Moderate,5
2021,5,7,8,Moderate,27
2020,6,2,14,High,13
2019,11,7,11,Moderate,10
2020,5,7,6,Moderate,3
2019,9,5,14,High,6
2017,1,5,20,Moderate,18
2016,4,5,0,High,2
2020,11,1,4,Moderate,37
2016,6,6,14,Moderate,19
2021,12,1,4,High,3
2019,11,4,8,High,16
2021,1,3,14,High,7
2021,8,7,7,Moderate,19
2018,7,3,3,High,4
2017,4,3,19,Moderate,23
2017,6,5,12,High,9
2021,4,5,11,High,4
2018,12,7,12,High,8
2019,11,6,14,Moderate,31
2020,3,5,11,High,12
2017,4,3,0,Severe,1
2022,3,5,22,Moderate,13
2017,12,2,4,Moderate,7
2021,6,7,0,Severe,3
2023,3,3,0,Severe,4
2021,12,5,1,Moderate,14
2018,7,5,20,Moderate,6
2018,11,6,14,High,27
2017,7,3,20,Moderate,4
2020,5,2,17,Low,8
2020,7,6,3,Moderate,2
2016,10,6,12,Moderate,17
2022,5,6,12,High,3
2021,5,5,3,High,2
2019,5,1,11,Moderate,11
2020,10,3,16,Moderate,39
2022,1,4,22,Moderate,10
2017,3,3,15,High,9
2017,12,6,7,Moderate,68
2018,2,4,15,Moderate,41
2020,6,3,16,Moderate,64
2020,4,2,14,Moderate,39
2021,11,7,1,Moderate,13
2018,2,5,13,High,7
2017,8,6,17,High,19
2018,10,5,20,Moderate,16
2019,6,3,1,Moderate,1
2022,6,5,10,Moderate,38
2019,5,4,14,Moderate,33
2016,7,4,12,Moderate,27
2019,6,2,13,Moderate,18
2022,6,4,17,Moderate,106
2021,9,4,0,Moderate,161
2023,1,7,0,Moderate,359
2022,7,6,10,Moderate,69
2022,1,6,7,Moderate,69
2019,12,7,10,Moderate,15
2022,12,4,12,Moderate,64
2022,12,6,9,Moderate,63
2018,7,4,11,Moderate,26
2019,5,6,1,Moderate,2
2016,4,3,11,Moderate,11
2020,6,6,18,Moderate,48
2020,10,1,0,Moderate,55
2017,10,4,7,Moderate,66
2022,5,2,13,Moderate,60
2019,6,5,11,High,8
2022,1,5,22,Moderate,10
2017,10,4,9,Moderate,42
2022,1,3,16,Moderate,87
2016,10,5,14,Moderate,25
2019,11,7,12,Moderate,15
2016,6,5,20,High,12
2022,9,2,10,Moderate,31
2020,11,3,5,Moderate,46
2022,7,3,21,Moderate,16
2021,6,5,18,High,13
2020,11,7,14,High,10
2022,6,3,22,Moderate,13
2018,5,5,16,Moderate,46
2020,4,7,15,High,6
2022,7,1,4,Moderate,16
2019,5,7,10,Moderate,7
2019,3,6,8,High,16
2017,7,2,11,Severe,1
2020,11,5,9,Moderate,26
2019,1,6,11,High,13
2021,3,3,21,Moderate,8
2022,10,5,16,Moderate,53
2017,10,2,1,High,3
2021,4,5,10,High,5
2021,1,2,4,High,3
2020,11,6,4,Moderate,41
2021,5,1,16,Severe,2
2017,3,7,0,Moderate,3
2020,1,1,7,Moderate,11
2022,3,4,4,Moderate,19
2022,5,6,12,Moderate,49
2021,2,2,19,Moderate,45
2017,7,1,10,Moderate,2
2022,3,5,0,Severe,10
2019,11,7,0,Moderate,5
2019,2,4,23,Moderate,5
2020,7,3,8,Moderate,26
2017,9,2,6,Moderate,23
2022,8,6,4,Low,11
2019,11,3,16,Moderate,37
2019,8,7,6,Moderate,7
2023,2,1,7,Moderate,7
2020,6,6,17,Moderate,50
2022,12,1,22,Moderate,16
2017,1,5,6,Moderate,21
2022,10,5,17,Severe,2
2016,7,6,9,Moderate,23
2018,10,2,11,High,12
2021,3,1,5,High,1
2019,12,6,0,Moderate,12
2020,9,4,6,High,10
2022,6,5,10,Low,4
2017,11,3,22,Severe,1
2016,11,1,14,Moderate,8
2019,12,7,23,Moderate,10
2019,7,3,11,High,12
2016,8,3,5,Severe,1
2016,11,5,7,High,15
2018,8,6,2,High,2
2022,10,4,22,Moderate,9
2018,1,5,9,High,8
2017,7,6,1,High,1
2020,5,2,23,Moderate,2
2020,4,4,0,Low,2
2019,1,5,16,Severe,2
2016,7,6,14,Moderate,21
2018,5,6,15,Moderate,31
2020,1,6,16,Low,1
2016,6,2,16,High,4
2018,12,3,11,Moderate,20
2020,10,4,11,High,3
2022,3,4,16,Severe,1
2018,1,7,7,High,9
2020,3,3,9,Moderate,32
2018,8,3,14,High,9
2017,5,4,14,High,6
2020,8,4,22,Moderate,1
2021,10,1,1,Moderate,18
2020,4,2,10,High,12
2017,1,7,12,Moderate,4
2018,2,4,17,Severe,2
2019,9,4,5,High,6
2020,8,6,13,High,15
2018,6,4,13,High,14
2019,10,4,8,Moderate,122
2022,12,6,11,Moderate,68
2022,9,5,2,Moderate,8
2022,11,5,11,Moderate,41
2021,5,4,16,Moderate,56
2020,4,4,16,Moderate,63
2021,4,6,4,Moderate,57
2018,2,3,9,Moderate,36
2018,4,7,12,Severe,1
2018,1,3,17,Moderate,46
2020,12,1,22,Moderate,81
2019,9,2,16,Moderate,74
2022,10,2,13,Moderate,40
2019,11,1,0,Moderate,7
2018,2,6,17,Moderate,37
2021,10,2,7,Moderate,91
2021,11,4,0,Moderate,139
2016,6,4,17,Moderate,23
2018,1,4,7,High,38
2021,2,2,11,Severe,1
2018,6,3,18,High,10
2021,3,1,23,High,2
2017,7,2,17,High,14
2017,11,5,20,Moderate,15
2021,2,5,15,Moderate,89
2019,2,2,6,High,14
2018,9,5,16,Moderate,41
2021,6,6,5,Moderate,22
2021,1,7,20,Moderate,58
2022,7,5,13,Moderate,45
2021,10,3,0,Moderate,117
2021,12,7,3,Severe,1
2022,11,6,13,Moderate,52
2021,6,6,20,Moderate,37
2020,12,4,19,Moderate,95
2016,12,2,11,Moderate,26
2018,8,4,6,High,21
2019,8,5,14,High,17
2019,11,2,5,High,5
2021,10,4,10,High,4
2021,10,7,17,Moderate,43
2021,12,4,1,Moderate,7
2018,9,5,11,High,10
2017,1,6,20,Moderate,7
2017,12,7,12,High,15
2022,3,2,14,High,5
2021,10,2,21,Moderate,13
2023,2,2,9,Severe,1
2020,4,6,16,Severe,2
2019,10,7,20,Moderate,13
2016,12,3,10,Moderate,24
2021,5,3,15,Moderate,44
2020,11,7,10,Severe,1
2022,1,5,12,High,6
2016,10,1,0,High,3
2017,6,1,10,High,3
2022,9,3,16,Severe,2
2019,9,4,15,High,9
2018,6,6,15,Moderate,26
2022,5,6,7,Low,17
2018,3,4,18,High,17
2018,7,7,19,Moderate,3
2017,7,6,18,Moderate,15
2021,11,5,2,Moderate,4
2019,5,3,5,Moderate,12
2021,12,2,10,High,3
2021,3,6,4,Moderate,49
2017,7,4,17,High,22
2021,9,6,9,Moderate,39
2018,7,1,7,High,4
2017,6,7,22,High,2
2022,3,2,5,Moderate,23
2023,1,6,23,Moderate,29
2016,8,2,15,Moderate,30
2018,2,7,13,High,14
2021,12,2,8,High,10
2017,1,6,22,High,4
2021,1,6,0,Severe,4
2017,8,5,18,Severe,2
2021,12,4,13,High,4
2017,3,6,20,Severe,2
2022,1,6,1,Moderate,4
2016,5,1,7,High,3
2018,2,6,19,High,13
2018,8,5,18,High,13
2019,7,1,20,Moderate,7
2016,12,2,6,High,17
2017,1,7,14,High,6
2017,12,6,12,Severe,1
2021,1,2,15,High,6
2021,9,4,16,High,18
2020,3,5,17,Low,6
2019,2,7,13,Moderate,10
2020,12,4,6,High,13
2021,9,4,16,Moderate,151
2019,7,5,13,Moderate,20
