Year,Month,Day,Hour,Severity,count
2020,11,6,17,High,11
2022,11,2,1,Moderate,8
2017,1,2,2,Moderate,3
2016,5,5,20,Moderate,11
2022,8,2,21,Moderate,24
2023,1,1,17,Moderate,41
2020,1,4,5,High,6
2017,11,5,11,High,11
2022,6,3,21,Moderate,13
2021,12,1,22,Moderate,23
2022,11,7,10,Moderate,26
2020,4,3,5,High,6
2022,12,4,4,Moderate,10
2021,3,4,6,High,13
2019,6,6,8,Severe,3
2019,6,7,0,Severe,1
2022,8,7,3,Moderate,15
2020,3,1,11,Moderate,14
2017,2,3,22,Moderate,4
2017,8,5,13,Moderate,35
2020,6,3,9,Low,6
2022,6,1,13,Moderate,25
2020,3,2,11,Moderate,27
2019,6,5,12,Moderate,18
2018,5,5,11,High,12
2020,12,7,22,Severe,1
2021,8,4,10,Moderate,26
2019,5,4,10,High,11
2017,9,4,6,Moderate,41
2017,6,3,12,High,8
2016,5,7,8,Moderate,1
2016,12,2,13,Moderate,13
2018,5,5,1,High,1
2020,9,1,14,High,6
2019,11,7,19,Moderate,11
2022,8,4,13,Low,2
2022,11,1,21,Moderate,15
2022,12,2,4,Moderate,12
2018,10,6,22,Moderate,6
2019,4,1,13,High,14
2019,7,4,16,High,17
2016,7,2,8,High,9
2020,12,2,18,High,9
2019,1,7,9,High,3
2017,3,5,18,High,16
2017,10,7,18,High,6
2021,4,2,21,Moderate,9
2020,5,7,12,Moderate,17
2016,10,1,18,High,4
2017,7,4,7,High,13
2020,4,1,15,Low,5
2022,12,7,0,Moderate,579
2021,4,3,4,Moderate,44
2021,12,4,11,Moderate,68
2021,12,6,10,Moderate,70
2021,8,7,10,Moderate,31
2019,4,1,14,High,10
2019,10,4,11,Moderate,41
2020,5,2,16,Moderate,32
2022,4,5,8,Moderate,106
2017,4,6,11,High,10
2021,10,6,16,Moderate,140
2022,10,7,5,Moderate,16
2016,8,5,16,High,12
2022,12,6,13,Moderate,93
2018,6,1,10,High,4
2020,9,2,16,Moderate,45
2019,8,5,6,High,9
2021,12,2,14,Moderate,79
2022,10,1,19,Moderate,31
2022,3,2,9,Moderate,42
2016,10,6,8,High,19
2021,2,2,12,Moderate,49
2019,11,3,6,Moderate,53
2023,1,7,4,Moderate,20
2019,10,3,10,Moderate,50
2017,4,4,19,High,14
2020,10,1,11,Moderate,19
2017,10,5,10,Moderate,33
2016,11,4,12,Severe,2
2022,6,3,4,Low,8
2021,7,6,22,Moderate,30
2019,10,2,8,Moderate,104
2020,11,5,15,Moderate,67
2019,12,2,10,Moderate,51
2022,3,3,20,Moderate,20
2022,9,6,18,Moderate,70
2021,5,5,23,Moderate,9
2018,12,4,20,High,4
2016,11,5,9,Moderate,40
2022,3,6,18,Moderate,54
2018,4,4,4,High,8
2018,12,5,10,Moderate,18
2019,3,2,5,High,9
2017,7,7,19,Moderate,4
2017,12,4,18,Moderate,42
2020,5,4,19,High,8
2021,8,3,21,Moderate,22
2022,9,7,9,Severe,2
2021,1,4,18,Moderate,38
2021,5,4,5,Moderate,57
2019,10,3,21,Moderate,24
2018,10,3,12,Moderate,42
2017,8,3,18,High,14
2017,4,2,8,Moderate,34
2019,9,2,9,Moderate,36
2017,3,4,11,Moderate,27
2021,2,5,4,Moderate,45
2017,1,3,5,High,4
2020,9,7,14,High,9
2021,12,7,15,Severe,2
2022,7,3,17,Severe,1
2017,7,2,4,High,4
2019,12,4,14,Moderate,21
2018,9,1,11,Moderate,15
2020,11,7,9,Moderate,27
2022,8,1,18,Moderate,29
2021,10,1,9,High,4
2021,3,5,15,Moderate,46
2019,6,3,14,Severe,2
2017,7,4,18,High,8
2017,2,6,3,High,1
2018,6,7,0,High,2
2016,8,1,11,Moderate,4
2022,1,7,3,Moderate,10
2016,8,6,21,High,3
2019,5,7,14,Severe,1
2020,3,5,4,Moderate,10
2021,4,3,20,Moderate,15
2016,10,3,19,High,5
2016,9,6,15,High,13
2017,1,4,21,High,5
2018,4,7,1,High,2
2016,9,2,17,Moderate,19
2017,2,1,19,High,4
2018,8,5,10,High,16
2022,5,1,10,High,4
2020,8,2,16,Moderate,24
2020,11,7,16,Severe,2
2016,9,3,11,Severe,2
2018,9,4,16,Moderate,27
2016,10,5,7,Moderate,38
2021,11,1,14,High,5
2018,9,6,0,High,2
2021,10,3,10,High,7
2020,4,4,2,High,2
2018,8,7,9,High,6
2016,5,2,5,High,1
2020,11,7,16,High,6
2018,5,5,23,Moderate,3
2016,10,1,17,Moderate,3
2023,3,4,17,Moderate,12
2017,3,5,8,Severe,1
2022,6,2,3,Severe,1
2021,6,2,18,Moderate,48
2021,3,5,8,Moderate,48
2021,4,4,0,Moderate,65
2019,11,3,7,Moderate,98
2019,8,4,15,High,14
2019,7,3,18,Moderate,32
2020,9,2,7,Moderate,31
2022,8,2,5,Low,10
2021,12,4,18,Moderate,122
2020,5,2,18,Moderate,22
2018,10,3,8,Moderate,105
2022,2,3,17,Moderate,89
2021,5,2,11,Moderate,44
2020,2,3,17,Moderate,34
2023,1,3,6,Moderate,64
2021,3,2,13,High,7
2020,10,3,6,High,9
2021,10,4,0,Moderate,152
2020,10,1,19,Moderate,20
2017,8,5,11,Moderate,35
2021,1,7,0,Moderate,194
2021,5,5,6,High,9
2020,1,3,8,Moderate,89
2022,11,3,15,Moderate,92
2022,12,4,11,Moderate,53
2020,12,6,4,High,3
2019,10,3,9,High,17
2022,7,4,12,Moderate,35
2016,5,5,9,Moderate,7
2018,12,4,10,High,9
2021,9,5,13,Moderate,70
2022,8,1,15,Moderate,37
2021,3,7,21,Moderate,20
2018,2,1,16,Moderate,10
2018,5,2,8,Moderate,51
2019,12,2,20,Moderate,30
2021,2,5,10,Moderate,63
2017,2,7,8,High,2
2022,3,1,20,Moderate,25
2016,4,6,7,High,3
2017,1,4,13,Moderate,16
2021,11,2,5,Moderate,38
2017,1,2,3,Moderate,3
2023,3,3,18,Moderate,10
2019,6,5,18,Moderate,24
2021,8,5,11,Moderate,55
2020,7,1,11,Moderate,5
2020,1,3,15,Moderate,35
2019,1,3,7,High,25
2017,5,7,2,High,3
2020,2,5,17,Moderate,58
2022,10,1,21,Moderate,13
2019,9,1,18,Moderate,21
2018,5,2,1,High,1
2020,4,6,16,Moderate,71
2021,8,5,12,Moderate,37
2017,4,2,7,Moderate,18
2018,3,5,10,High,10
2021,9,5,4,Moderate,27
2022,8,3,8,High,10
2019,12,3,19,Severe,4
2017,9,4,22,Moderate,5
2018,3,6,6,High,19
2022,5,7,22,Moderate,17
2018,4,2,22,High,8
2021,2,4,7,High,13
2018,8,4,17,High,30
2020,3,6,15,High,14
2018,8,2,9,High,9
2018,5,3,16,High,29
2022,5,5,9,Low,2
2019,11,2,12,Moderate,13
2016,11,1,19,Moderate,4
2016,7,4,8,High,11
2020,8,6,10,Moderate,23
2017,7,4,9,Moderate,28
2019,11,6,13,High,9
2022,1,6,18,Severe,1
2018,3,3,6,Moderate,32
2022,3,5,18,Moderate,43
2017,12,2,15,Severe,2
2020,4,2,2,Moderate,2
2020,1,5,14,High,10
2022,6,1,3,Moderate,10
2020,3,7,0,Moderate,6
2019,7,5,0,High,1
2019,3,3,9,Moderate,43
2019,5,6,12,Severe,2
2017,9,7,17,Moderate,2
2018,5,7,6,High,2
2017,6,4,13,Moderate,14
2019,11,2,16,High,17
2020,12,1,19,High,2
2018,11,4,19,High,8
2021,5,1,14,High,9
2017,5,7,11,High,2
2017,10,4,5,Moderate,10
2020,6,2,11,Moderate,40
2016,10,5,9,Moderate,25
2016,9,2,11,High,12
2021,12,6,16,Moderate,157
2020,12,5,4,Moderate,72
2022,3,3,12,Moderate,38
2021,5,4,8,High,19
2021,8,7,14,Moderate,52
2018,7,6,5,Moderate,16
2018,4,6,6,High,12
2018,9,3,16,Moderate,38
2019,12,5,10,Moderate,43
2021,6,2,13,High,6
2021,10,4,21,Moderate,21
2020,2,3,9,High,11
2016,10,6,11,Moderate,21
2022,11,2,12,Moderate,33
2019,10,4,7,Moderate,139
2021,10,6,13,Moderate,97
2021,7,2,16,Moderate,78
2020,9,3,16,High,22
2016,9,7,22,Moderate,2
2019,8,6,9,Moderate,40
2017,12,5,8,Moderate,62
2017,3,4,7,Moderate,35
2022,10,4,6,Moderate,34
2016,8,2,12,Moderate,27
2018,10,3,20,High,5
2022,8,5,15,Moderate,88
2018,2,2,5,High,12
2016,10,5,18,Moderate,34
2020,7,7,4,Moderate,1
2022,8,4,22,Moderate,18
2017,12,7,16,Severe,1
2020,4,6,15,Moderate,53
2018,2,6,12,Moderate,23
2020,2,5,15,Moderate,43
2022,12,5,9,Moderate,61
2017,10,5,9,Severe,3
2019,6,2,14,High,14
2019,10,4,18,High,17
2020,3,2,18,High,13
2021,1,1,18,Moderate,40
2021,4,4,16,High,14
2018,6,5,14,Moderate,23
2017,8,5,22,High,6
2020,9,2,10,Moderate,20
2020,1,1,13,Moderate,8
2021,1,7,7,Moderate,30
2020,6,1,15,Low,1
2019,5,6,17,Moderate,46
2018,5,4,15,Severe,2
2020,11,5,23,Moderate,53
2019,2,1,17,Moderate,8
2020,4,7,12,Moderate,13
2022,4,2,2,Moderate,10
2020,2,5,14,High,13
2017,10,6,13,Moderate,33
2018,12,3,7,High,16
2019,2,5,17,High,19
2018,6,5,9,Moderate,32
2017,12,3,5,Moderate,8
2019,6,4,5,Moderate,12
2016,6,7,11,Moderate,3
2022,7,6,13,Severe,4
2021,3,6,7,High,5
2021,5,5,22,Severe,1
2021,8,7,23,Moderate,12
2019,4,4,13,High,9
2018,10,7,14,Moderate,7
2018,8,1,12,High,10
2020,12,7,20,Moderate,36
2016,8,2,9,Moderate,31
2020,8,5,3,High,1
2020,8,3,13,Moderate,6
2016,7,7,14,Moderate,14
2022,2,2,2,Moderate,8
2016,5,6,16,High,3
2017,7,4,12,High,8
2021,5,4,12,Moderate,31
2022,3,6,5,Moderate,17
2021,8,6,3,Moderate,5
2019,9,6,13,High,5
2018,6,5,1,High,2
2021,11,2,23,High,3
2022,6,1,5,Moderate,5
2020,4,5,21,Moderate,16
2019,2,6,3,Moderate,5
2021,4,4,4,High,3
2016,7,6,6,High,6
2020,4,3,10,Low,3
2020,7,5,20,Moderate,6
2021,11,3,17,High,15
2018,6,2,22,High,6
2017,3,6,9,High,4
2020,7,6,11,High,6
2019,2,5,1,Moderate,2
2018,1,4,13,High,13
2017,11,1,18,Moderate,4
2019,2,4,11,Severe,2
2023,2,3,17,Moderate,28
2019,10,5,6,Moderate,65
2022,4,4,8,Moderate,92
2019,3,3,7,Moderate,84
2019,1,3,15,Severe,1
2021,4,4,7,High,6
2018,5,3,8,Moderate,63
2018,9,4,8,Moderate,80
2022,6,7,9,Moderate,21
2020,2,7,18,High,11
2021,7,5,16,Moderate,85
2021,6,5,7,Moderate,50
2018,3,6,17,Moderate,50
2017,1,5,15,Moderate,20
2020,9,1,12,Moderate,10
2018,2,2,18,Moderate,24
2018,7,4,10,Moderate,23
2019,8,6,13,Moderate,35
2021,6,6,16,Moderate,102
2019,10,5,4,Moderate,18
2023,1,3,14,Moderate,60
2021,9,6,11,High,7
2021,1,7,6,Moderate,42
2017,10,3,12,High,7
2016,11,1,21,Moderate,3
2021,3,6,17,Moderate,30
2023,2,4,7,Moderate,46
2019,5,1,13,Moderate,7
2020,3,2,7,Moderate,79
2021,10,4,9,Moderate,56
2021,11,4,12,Moderate,51
2016,12,1,14,High,5
2020,2,4,19,High,12
2017,8,6,15,Moderate,47
2019,12,2,16,Moderate,53
2016,10,5,11,High,14
2020,6,3,22,High,4
2019,1,4,6,Moderate,62
2016,10,1,14,High,7
2021,5,6,18,Moderate,43
2018,9,6,9,Moderate,30
2017,6,3,8,Moderate,37
2022,1,2,3,Moderate,9
2018,9,1,15,Moderate,7
2020,10,6,20,High,5
2019,10,2,8,High,20
2020,2,2,11,Moderate,25
2018,7,2,4,High,3
2021,4,7,8,Moderate,23
2017,9,1,9,High,9
2021,5,5,19,Moderate,20
2022,11,6,4,Moderate,9
2022,9,3,14,Moderate,57
2019,12,6,17,High,12
2017,9,2,4,Moderate,11
2020,9,6,7,Moderate,38
2022,9,5,10,Moderate,29
2019,3,5,22,Moderate,5
2017,8,2,1,High,2
2018,11,4,10,Moderate,42
2017,5,4,19,Moderate,16
2021,11,1,7,Severe,2
2018,12,7,13,Moderate,16
2017,3,6,6,Moderate,19
2019,2,3,14,Moderate,20
2022,6,5,16,Low,9
2022,10,5,1,Moderate,3
2022,8,4,21,Moderate,20
2022,3,1,9,Moderate,13
2019,11,4,19,High,8
2021,8,7,15,Moderate,45
2022,9,4,12,High,1
2021,3,2,10,Severe,2
2020,10,7,10,High,4
2022,5,4,2,Moderate,7
2019,7,5,14,High,3
2017,2,4,6,Moderate,25
2020,9,5,3,Moderate,13
2021,8,7,5,Severe,1
2017,6,7,3,Moderate,1
2019,8,5,20,Severe,1
2021,6,6,7,High,9
2021,9,4,14,High,14
2021,2,3,15,High,5
2023,3,2,19,Moderate,4
2017,6,6,13,High,9
2019,6,6,3,Severe,1
2020,11,7,8,High,5
2016,11,6,7,Severe,2
2022,5,7,2,Moderate,7
2019,7,4,18,High,14
2021,5,7,7,Moderate,23
2017,8,4,14,Moderate,39
2020,1,5,16,Moderate,56
2022,4,6,5,Moderate,45
2021,12,6,0,Moderate,303
2016,7,4,13,Moderate,22
2017,11,7,14,High,7
2019,2,5,8,Moderate,80
2016,10,3,10,Moderate,40
2022,12,5,19,Moderate,55
2021,6,2,19,Moderate,32
2022,1,7,9,Moderate,21
2019,12,7,22,Moderate,11
2022,5,5,15,Low,3
2016,10,4,17,Moderate,39
2019,8,1,14,High,4
2020,1,7,5,Moderate,7
2020,10,7,18,Moderate,59
2016,7,4,14,Moderate,18
2020,2,5,12,High,7
2019,4,2,7,High,22
2022,7,4,18,Moderate,39
2022,4,6,15,High,11
2022,3,5,15,Moderate,96
2021,9,1,13,Moderate,38
2020,5,4,14,Moderate,40
2022,11,2,9,Moderate,23
2018,5,4,15,High,19
2020,1,6,18,Moderate,59
2018,4,5,11,Moderate,22
2020,2,1,9,Moderate,12
2022,11,5,4,Moderate,15
2020,7,7,15,High,5
2020,5,1,2,Low,2
2019,2,5,10,High,15
2020,3,2,22,High,3
2022,6,5,18,Low,2
2017,5,3,5,Moderate,7
2021,8,4,19,Moderate,30
2022,1,3,5,Moderate,27
2021,3,2,17,Moderate,45
2018,4,5,8,High,31
2018,5,6,12,Moderate,28
2017,1,5,3,Moderate,5
2018,10,5,7,Moderate,76
2016,9,5,17,Moderate,38
2022,6,6,14,Moderate,43
2019,12,2,22,Moderate,14
2020,12,5,1,Moderate,119
2021,2,7,9,Moderate,42
2022,11,1,4,Moderate,7
2017,12,7,16,Moderate,2
2022,6,5,8,Moderate,53
2022,2,6,21,Moderate,18
2020,6,5,16,Moderate,60
2019,12,1,17,Moderate,29
2017,12,5,5,High,15
2020,7,3,16,Moderate,21
2018,8,1,10,Moderate,7
2020,7,6,6,Moderate,19
2018,4,2,11,Moderate,36
2022,5,4,10,Moderate,38
2020,5,4,20,High,9
2019,4,7,16,High,9
2017,12,4,15,Moderate,32
2022,1,7,23,Moderate,18
2019,12,1,20,High,7
2022,2,2,6,Moderate,37
2016,8,4,5,Moderate,9
2019,12,3,10,Moderate,37
2017,1,1,5,Severe,2
2017,10,4,20,High,6
2017,5,1,9,Moderate,4
2019,3,5,15,High,13
2018,1,2,4,High,6
2022,5,5,13,Moderate,65
2021,4,3,5,Severe,2
2022,4,3,15,High,11
2020,5,2,14,Severe,4
2018,10,4,4,Moderate,16
2020,5,4,7,High,5
2019,6,2,10,Moderate,31
2017,11,3,15,High,14
2019,5,4,18,High,7
2020,11,1,12,Moderate,15
2019,8,4,0,High,1
2019,4,4,10,Moderate,28
2021,1,2,10,High,6
2018,9,1,16,High,6
2018,5,5,21,High,4
2016,12,4,18,High,17
2017,6,6,20,High,7
2017,2,2,4,Moderate,5
2022,6,6,17,Severe,1
2020,2,5,13,High,6
2022,2,4,15,High,6
2018,9,3,5,Moderate,15
2022,2,2,12,Severe,2
2021,7,7,2,High,4
2021,7,4,1,High,1
2020,8,3,13,High,7
2018,4,2,1,Moderate,4
2017,3,2,4,High,5
2018,6,5,21,High,3
2018,11,5,9,Severe,2
2017,9,7,3,High,5
2016,12,3,7,Moderate,32
2022,9,2,0,Severe,9
2019,10,4,3,Moderate,4
2021,4,6,9,Moderate,47
2020,11,6,13,Moderate,79
