Severity,Avg_Temperature,Avg_Visibility,Avg_WindSpeed
High,62.2155888757205,9.111724321085584,8.257717716592467
Low,72.19688657537068,9.520051882824763,7.077954744936069
Severe,58.231902150944954,9.09713639947612,7.654875313408872
Moderate,61.52252127932248,9.082440646316048,7.5660346799014935
